Drive,Ring,Hole,Collar Error,Alignment Error,In-Hole Error,Toe Error
Drive 1,R2,H3,0.3%,1.4%,1.7%,3.4%
Drive 1,R2,H4,0.6%,1.1%,1.3%,2.9%
Drive 1,R2,H5-rev,0.5%,1.2%,1.5%,3.2%
Drive 1,R3,H5,0.5%,1.3%,1.5%,3.3%
Drive 1,R3,H4,0.7%,1.2%,1.5%,3.4%
Drive 1,R3,H3,0.7%,1.3%,1.6%,3.6%
Drive 1,R3,H2,0.6%,1.2%,1.7%,3.5%
Drive 1,R3,H1,0.6%,1.0%,1.5%,3.2%
Drive 1,R4,H5,0.5%,1.0%,1.3%,2.8%
Drive 1,R4,H2,0.8%,1.1%,1.8%,3.7%
Drive 1,R4,H1-rev,0.2%,1.2%,1.6%,3.0%
Drive 1,R4,H3,0.3%,1.2%,1.7%,3.2%
Drive 1,R4,H4,0.6%,1.2%,1.7%,3.6%
Drive 1,R5,H11,0.4%,1.2%,1.4%,2.9%
Drive 1,R5,H10,0.6%,1.2%,1.9%,3.7%
Drive 1,R5,H9,0.7%,1.3%,1.3%,3.4%
Drive 1,R5,H8,0.4%,1.4%,1.5%,3.3%
Drive 1,R5,H7,0.7%,1.3%,1.7%,3.6%
Drive 1,R5,H6,0.5%,1.2%,1.5%,3.2%
Drive 1,R5,H5,0.9%,1.3%,1.2%,3.4%
Drive 1,R5,H4,0.5%,1.2%,1.6%,3.4%
Drive 1,R5,H1,0.7%,1.1%,1.4%,3.3%
Drive 1,R5,H2,0.5%,1.2%,1.7%,3.3%
Drive 1,R5,H3,0.5%,1.1%,1.5%,3.0%
Drive 1,R6,H15,0.5%,1.2%,1.4%,3.0%
Drive 1,R6,H14,0.3%,1.1%,1.6%,3.1%
Drive 1,R6,H13,0.6%,1.1%,1.6%,3.3%
Drive 1,R6,H12,0.6%,1.1%,1.7%,3.4%
Drive 1,R6,H11,0.1%,1.2%,1.7%,3.0%
Drive 1,R6,H10,0.4%,1.3%,1.4%,3.1%
Drive 1,R6,H9,0.7%,1.2%,1.4%,3.3%
Drive 1,R6,H8,0.5%,1.3%,2.0%,3.7%
Drive 1,R6,H7,0.7%,1.2%,1.7%,3.6%
Drive 1,R6,H6,0.8%,1.4%,1.4%,3.6%
Drive 1,R6,H5,0.8%,1.1%,1.7%,3.6%
Drive 1,R6,H1,0.6%,1.4%,1.5%,3.4%
Drive 1,R6,H2,0.7%,1.3%,1.6%,3.6%
Drive 1,R6,H3,0.5%,1.2%,1.4%,3.0%
Drive 1,R6,H4,0.3%,1.3%,2.0%,3.7%
Drive 1,R7,H15,0.6%,1.1%,1.7%,3.3%
Drive 1,R7,H1,0.5%,1.3%,1.7%,3.4%
Drive 1,R7,H14,0.4%,1.1%,1.8%,3.3%
Drive 1,R7,H12,0.5%,1.3%,1.4%,3.3%
Drive 1,R7,H11,0.6%,1.2%,1.6%,3.5%
Drive 1,R7,H10,0.5%,1.1%,1.5%,3.1%
Drive 1,R7,H9,0.6%,1.2%,1.4%,3.2%
Drive 1,R7,H8,0.1%,1.1%,1.8%,3.0%
Drive 1,R7,H7,0.9%,1.3%,1.9%,4.0%
Drive 1,R7,H6,0.3%,1.1%,1.5%,3.0%
Drive 1,R7,H2,1.2%,1.1%,1.7%,4.0%
Drive 1,R7,H3,0.5%,1.1%,1.7%,3.2%
Drive 1,R7,H5,0.6%,1.1%,1.3%,3.0%
Drive 1,R7,H4,0.8%,1.3%,1.6%,3.7%
Drive 1,R8,H15,0.6%,1.3%,1.7%,3.5%
Drive 1,R8,H14,0.6%,1.2%,1.7%,3.5%
Drive 1,R8,H13,0.5%,1.1%,1.5%,3.1%
Drive 1,R8,H12,0.8%,1.3%,1.5%,3.6%
Drive 1,R8,H11,0.3%,1.3%,1.7%,3.4%
Drive 1,R8,H10,0.9%,1.3%,1.2%,3.4%
Drive 1,R8,H9,0.6%,1.2%,1.4%,3.2%
Drive 1,R8,H8,0.1%,1.5%,1.7%,3.4%
Drive 1,R8,H7,0.8%,1.2%,1.7%,3.7%
Drive 1,R8,H6,0.6%,1.2%,2.1%,3.9%
Drive 1,R8,H5,0.6%,1.1%,1.6%,3.3%
Drive 1,R8,H4,0.7%,1.1%,1.7%,3.5%
Drive 1,R8,H3,0.4%,1.2%,1.7%,3.4%
Drive 1,R8,H2,0.5%,1.3%,1.9%,3.6%
Drive 1,R8,H1,0.3%,1.2%,1.7%,3.2%
Drive 1,R9,H15,0.4%,1.2%,1.7%,3.4%
Drive 1,R9,H14,0.5%,1.3%,1.3%,3.0%
Drive 1,R9,H13,0.5%,1.2%,1.8%,3.4%
Drive 1,R9,H12,0.5%,1.3%,1.3%,3.1%
Drive 1,R9,H11,0.7%,1.1%,1.8%,3.6%
Drive 1,R9,H10,0.2%,1.3%,1.6%,3.1%
Drive 1,R9,H9,0.5%,1.2%,1.5%,3.2%
Drive 1,R9,H8-rev,0.4%,1.2%,1.4%,2.9%
Drive 1,R9,H7,0.6%,1.3%,1.6%,3.5%
Drive 1,R9,H6,0.5%,1.3%,1.6%,3.5%
Drive 1,R9,H5,0.5%,1.1%,1.4%,3.1%
Drive 1,R9,H4,0.5%,1.2%,1.6%,3.2%
Drive 1,R9,H3,0.2%,1.4%,1.4%,3.0%
Drive 1,R9,H2,0.3%,1.2%,1.4%,2.9%
Drive 1,R9,H1,0.4%,1.2%,1.5%,3.0%
Drive 1,R10,H15,0.3%,1.2%,1.3%,2.8%
Drive 1,R10,H14,0.7%,1.2%,1.2%,3.1%
Drive 1,R10,H13,0.3%,1.1%,1.4%,2.9%
Drive 1,R10,H12,0.1%,1.2%,1.7%,3.0%
Drive 1,R10,H11,0.7%,1.2%,1.2%,3.2%
Drive 1,R10,H10,0.2%,1.1%,1.7%,3.0%
Drive 1,R10,H9,0.3%,1.2%,1.5%,3.0%
Drive 1,R10,H8,0.3%,1.0%,1.4%,2.7%
Drive 1,R10,H7,0.6%,1.3%,1.5%,3.4%
Drive 1,R10,H6-rev,0.2%,1.2%,1.7%,3.1%
Drive 1,R10,H5,0.6%,1.1%,1.7%,3.5%
Drive 1,R10,H4,0.5%,1.2%,1.5%,3.2%
Drive 1,R10,H3,0.6%,1.1%,1.5%,3.2%
Drive 1,R10,H2,0.3%,1.1%,1.5%,2.8%
Drive 1,R10,H1,0.7%,1.3%,1.6%,3.6%
Drive 1,R11,H15,0.5%,1.3%,1.7%,3.5%
Drive 1,R11,H14,0.6%,1.4%,2.1%,4.2%
Drive 1,R11,H13,0.4%,1.1%,1.4%,2.9%
Drive 1,R11,H12,0.4%,1.2%,1.9%,3.4%
Drive 1,R11,H11,0.4%,1.2%,1.6%,3.2%
Drive 1,R11,H10,0.3%,1.2%,1.7%,3.2%
Drive 1,R11,H9,0.5%,1.1%,1.8%,3.4%
Drive 1,R11,H1,0.2%,1.1%,1.6%,2.9%
Drive 1,R11,H6,0.4%,1.2%,1.6%,3.2%
Drive 1,R11,H8,0.5%,1.1%,1.5%,3.1%
Drive 1,R11,H7,0.7%,1.2%,1.7%,3.6%
Drive 1,R11,H5,0.6%,1.1%,1.6%,3.3%
Drive 1,R11,H4,0.4%,1.2%,1.6%,3.2%
Drive 1,R11,H3,0.9%,1.2%,1.7%,3.8%
Drive 1,R11,H2,0.4%,1.2%,2.0%,3.6%
Drive 1,R11,H2-rev,0.4%,1.4%,0.9%,2.7%
Drive 1,R12,H14,0.2%,1.1%,1.9%,3.3%
Drive 1,R12,H13,0.5%,1.3%,1.6%,3.4%
Drive 1,R12,H12,0.7%,1.2%,2.0%,3.9%
Drive 1,R12,H11,0.6%,1.1%,1.5%,3.2%
Drive 1,R12,H10,0.6%,1.2%,1.7%,3.4%
Drive 1,R12,H9-rev,0.6%,1.1%,1.4%,3.2%
Drive 1,R12,H8,0.6%,1.2%,1.3%,3.1%
Drive 1,R12,H7-rev,0.7%,1.2%,1.6%,3.5%
Drive 1,R12,H6-rev,0.3%,1.4%,1.3%,3.0%
Drive 1,R12,H5,0.8%,1.1%,1.6%,3.5%
Drive 1,R12,H4,0.5%,1.1%,1.4%,3.0%
Drive 1,R12,H3,0.6%,1.2%,1.9%,3.7%
Drive 1,R12,H2,0.2%,1.2%,1.7%,3.1%
Drive 1,R12,H1,0.8%,1.2%,1.2%,3.2%
Drive 1,L11,H6,0.3%,1.3%,2.0%,3.6%
Drive 1,L11,H7,0.7%,1.2%,1.7%,3.7%
Drive 1,R14,H1,0.4%,1.2%,1.6%,3.1%
Drive 1,L11,H9,0.6%,1.3%,1.8%,3.7%
Drive 1,L11,H8,0.4%,1.2%,1.9%,3.5%
Drive 1,L11,H10,0.3%,1.1%,1.7%,3.2%
Drive 1,L11,H11,0.8%,1.2%,1.7%,3.8%
Drive 1,R14,H10,0.4%,1.1%,1.6%,3.0%
Drive 1,R14,H9,0.6%,1.1%,1.4%,3.1%
Drive 1,R14,H8,0.6%,1.4%,1.6%,3.6%
Drive 1,R14,H7,0.6%,1.3%,1.5%,3.4%
Drive 1,R14,H6,0.6%,1.3%,1.5%,3.5%
Drive 1,R14,H5,0.6%,1.2%,1.8%,3.5%
Drive 1,R14,H4,0.8%,1.2%,1.3%,3.3%
Drive 1,R14,H3,0.9%,1.3%,1.7%,3.9%
Drive 1,R14,H2,0.6%,1.3%,1.6%,3.4%
Drive 2,L12,H1,0.4%,1.3%,1.5%,3.2%
Drive 2,L12,H2,0.8%,1.0%,2.0%,3.8%
Drive 2,L12,H3,0.4%,1.3%,1.6%,3.2%
Drive 2,L12,H4,0.5%,1.3%,1.8%,3.5%
Drive 2,L12,H9,0.3%,1.3%,1.8%,3.4%
Drive 2,L12,H5,0.5%,1.2%,1.8%,3.5%
Drive 2,L12,H8,0.7%,1.2%,1.5%,3.5%
Drive 2,L12,H6,0.1%,1.3%,1.5%,2.8%
Drive 2,L12,H10,0.9%,1.2%,1.6%,3.7%
Drive 2,L12,H7,0.7%,1.2%,1.7%,3.6%
Drive 2,L13,H14,0.9%,1.2%,1.5%,3.6%
Drive 2,L13,H13,0.5%,1.3%,1.5%,3.2%
Drive 2,R15,H10,0.6%,1.2%,1.5%,3.3%
Drive 2,R15,H9,0.5%,1.4%,1.7%,3.6%
Drive 2,R15,H8,0.6%,1.3%,1.5%,3.4%
Drive 2,R15,H7,0.7%,1.3%,1.6%,3.6%
Drive 2,L13,H12,0.8%,1.2%,1.5%,3.5%
Drive 2,L13,H12-rev,0.4%,1.1%,1.5%,3.1%
Drive 2,L13,H10,0.5%,1.1%,1.4%,3.0%
Drive 2,L13,H1,0.7%,1.2%,1.6%,3.4%
Drive 2,L13,H2,0.5%,1.2%,1.4%,3.2%
Drive 2,L13,H3,0.5%,1.3%,1.5%,3.3%
Drive 2,L13,H4,0.3%,1.1%,1.5%,2.9%
Drive 2,R15,H1,0.5%,1.1%,1.5%,3.1%
Drive 2,L13,H5,0.5%,1.3%,1.7%,3.5%
Drive 2,L13,H6,0.3%,1.1%,1.8%,3.2%
Drive 2,L13,H7,0.5%,1.2%,1.8%,3.5%
Drive 2,L13,H8,0.7%,1.2%,1.8%,3.7%
Drive 2,L13,H9,0.8%,1.4%,1.8%,3.9%
Drive 2,L13,H11,-0.1%,1.2%,1.2%,2.4%
Drive 2,R15,H6,1.1%,1.2%,1.3%,3.6%
Drive 2,R15,H2,0.3%,1.2%,1.3%,2.8%
Drive 2,R15,H5,0.3%,1.1%,1.6%,3.0%
Drive 2,R15,H4,0.7%,1.3%,1.7%,3.7%
Drive 2,R15,H3,0.6%,1.2%,1.3%,3.1%
Drive 2,L1,H1,0.6%,1.2%,1.7%,3.4%
Drive 2,L1,H13,0.8%,1.3%,1.6%,3.7%
Drive 2,L1,H12,0.3%,1.4%,1.6%,3.3%
Drive 2,L1,H11,0.3%,0.9%,1.8%,3.0%
Drive 2,L1,H10,0.8%,1.2%,1.7%,3.7%
Drive 2,L1A,H14,0.3%,1.2%,1.8%,3.3%
Drive 2,L1,H2,0.7%,1.1%,1.6%,3.4%
Drive 2,L1,H3,0.6%,1.2%,1.6%,3.3%
Drive 2,L1,H4,0.0%,1.2%,1.6%,2.9%
Drive 2,L1,H5,0.6%,1.2%,1.8%,3.6%
Drive 2,L1,H6,0.4%,1.2%,1.9%,3.5%
Drive 2,L1,H7,0.6%,1.3%,1.8%,3.6%
Drive 2,L1,H8,0.6%,1.0%,1.5%,3.1%
Drive 2,L1,H9,0.6%,1.3%,1.6%,3.5%
Drive 2,L1A,H1,0.9%,1.2%,1.8%,3.9%
Drive 2,L1A,H2,0.5%,1.3%,1.2%,3.0%
Drive 2,L1A,H3,0.5%,1.1%,1.3%,3.0%
Drive 2,L1A,H4,0.3%,1.3%,1.5%,3.1%
Drive 2,L1A,H5,0.6%,1.3%,1.7%,3.6%
Drive 2,L1E,H1,0.5%,1.2%,1.7%,3.5%
Drive 2,L1C,H1,0.6%,1.4%,1.5%,3.5%
Drive 2,L1C,H2,0.4%,1.2%,1.8%,3.4%
Drive 2,L1C,H15,0.7%,1.2%,1.8%,3.7%
Drive 2,L1E,H2,0.2%,1.0%,2.0%,3.3%
Drive 2,L2,H1,0.4%,1.2%,1.8%,3.4%
Drive 2,L2,H2,0.4%,1.1%,1.2%,2.8%
Drive 2,L2,H3,0.4%,1.3%,1.5%,3.2%
Drive 2,L2,H4,0.3%,1.3%,1.8%,3.4%
Drive 2,L2,H5,0.4%,1.1%,1.6%,3.1%
Drive 2,L2,H6,0.6%,1.3%,2.3%,4.2%
Drive 2,L2,H13,0.5%,1.1%,1.4%,3.0%
Drive 2,L2,H12,0.7%,1.1%,1.4%,3.2%
Drive 2,L2,H11-rev,0.5%,1.3%,1.5%,3.4%
Drive 2,L2,H10,0.5%,1.2%,1.6%,3.3%
Drive 2,L1E,H3,0.7%,1.2%,1.4%,3.3%
Drive 2,L1E,H4,0.6%,1.1%,1.5%,3.2%
Drive 2,L1E,H5,0.5%,1.2%,1.8%,3.5%
Drive 2,L1C,H3,0.1%,1.3%,1.9%,3.4%
Drive 2,L1C,H4,0.6%,1.2%,1.5%,3.2%
Drive 2,L1C,H5,0.6%,1.4%,1.3%,3.3%
Drive 2,L1C,H6,0.9%,1.1%,1.5%,3.5%
Drive 2,L1C,H14,0.9%,1.2%,1.8%,3.9%
Drive 2,L1A,H6,0.5%,1.2%,1.8%,3.5%
Drive 2,L1A,H13,0.9%,1.0%,1.8%,3.7%
Drive 2,L1A,H7,0.6%,1.1%,2.0%,3.6%
Drive 2,L1A,H12,0.6%,1.2%,1.9%,3.7%
Drive 2,L1A,H11,0.3%,1.3%,1.5%,3.1%
Drive 2,L1C,H13,1.0%,1.1%,1.3%,3.3%
Drive 2,L1C,H12,0.4%,1.1%,1.8%,3.3%
Drive 2,L1E,H6,0.5%,1.2%,1.7%,3.3%
Drive 2,L1E,H7,0.2%,1.2%,1.5%,2.9%
Drive 2,L2,H7,0.5%,1.1%,1.5%,3.2%
Drive 2,L1E,H14,0.9%,1.3%,1.7%,3.8%
Drive 2,L1E,H13,0.5%,1.3%,1.8%,3.6%
Drive 2,L1E,H12,0.8%,1.4%,2.0%,4.1%
Drive 2,L1E,H11,0.4%,1.0%,1.7%,3.1%
Drive 2,L3,H1,0.4%,1.3%,1.7%,3.5%
Drive 2,L3,H2,0.2%,1.3%,1.4%,2.9%
Drive 2,L3,H3,0.4%,1.1%,1.6%,3.2%
Drive 2,L3,H4,0.5%,1.2%,1.7%,3.3%
Drive 2,L3,H5,0.6%,1.3%,1.8%,3.7%
Drive 2,L3,H6,0.4%,1.3%,1.4%,3.0%
Drive 2,L3,H7,0.6%,1.2%,1.7%,3.5%
Drive 2,L3,H8,0.2%,1.3%,1.5%,2.9%
Drive 2,L3,H9,0.7%,1.1%,1.7%,3.4%
Drive 2,L3,H10,0.8%,1.2%,1.5%,3.4%
Drive 2,L3A,H1,0.5%,1.1%,1.9%,3.4%
Drive 2,L3A,H2,0.2%,1.1%,1.4%,2.7%
Drive 2,L3A,H3,0.8%,1.1%,1.5%,3.5%
Drive 2,L4,H1,0.5%,1.1%,1.6%,3.2%
Drive 2,L4,H2,0.3%,1.2%,1.1%,2.6%
Drive 2,L4,H3,0.7%,1.2%,1.5%,3.4%
Drive 2,L4,H10,0.7%,1.2%,1.8%,3.8%
Drive 2,L4,H4,0.3%,1.2%,1.5%,3.0%
Drive 2,L4,H5,0.8%,1.3%,1.4%,3.5%
Drive 2,L4,H6,0.7%,1.3%,1.8%,3.9%
Drive 2,L4,H7,0.6%,1.1%,1.3%,3.0%
Drive 2,L4,H8,0.9%,1.3%,1.6%,3.7%
Drive 2,L4,H9,0.8%,1.3%,1.5%,3.6%
Drive 2,L4,H11,0.4%,1.2%,1.7%,3.3%
Drive 2,L4,H12,0.6%,1.1%,1.7%,3.5%
Drive 2,L4A,H1,0.5%,1.1%,1.4%,3.0%
Drive 2,L4A,H2,0.4%,1.2%,1.7%,3.2%
Drive 2,L4A,H3,0.6%,1.3%,1.5%,3.4%
Drive 2,L5,H1,0.5%,1.1%,1.6%,3.2%
Drive 2,L5,H2,0.7%,1.2%,1.7%,3.7%
Drive 2,L5,H3,0.7%,1.0%,1.4%,3.1%
Drive 3,L5,H4,0.5%,1.3%,1.5%,3.3%
Drive 3,L5,H5,0.4%,1.3%,1.6%,3.2%
Drive 3,L5,H6,0.6%,1.1%,2.0%,3.7%
Drive 3,L5,H7,0.4%,1.2%,1.5%,3.2%
Drive 3,L5,H8,0.3%,1.1%,1.6%,3.1%
Drive 3,L5,H9,0.4%,1.3%,1.2%,2.9%
Drive 3,L5,H10,0.4%,1.2%,1.8%,3.4%
Drive 3,L5,H11,0.7%,1.1%,1.4%,3.2%
Drive 3,L5,H12,0.4%,1.3%,1.1%,2.8%
Drive 3,L5A,H1,0.5%,1.3%,1.2%,3.0%
Drive 3,L6,H1,0.7%,1.1%,1.5%,3.3%
Drive 3,L6,H2,0.3%,1.2%,1.9%,3.3%
Drive 3,L6,H3,0.7%,1.2%,1.2%,3.1%
Drive 3,L6,H4,0.3%,1.2%,1.6%,3.1%
Drive 3,L6,H5,0.2%,1.3%,1.0%,2.5%
Drive 3,L6,H6,0.6%,1.2%,1.4%,3.2%
Drive 3,L6,H7,0.4%,1.1%,1.3%,2.9%
Drive 3,L6,H8,0.7%,1.2%,1.4%,3.3%
Drive 3,L6,H9,0.2%,1.2%,1.8%,3.3%
Drive 3,L6,H10,0.9%,1.2%,1.6%,3.7%
Drive 3,L6,H11,0.3%,1.1%,1.6%,3.0%
Drive 3,L6,H12,0.6%,1.3%,1.5%,3.5%
Drive 3,L7,H1,0.3%,1.2%,1.5%,3.0%
Drive 3,L7,H2,0.3%,1.1%,1.6%,3.1%
Drive 3,L7,H3,0.5%,1.2%,1.4%,3.1%
Drive 3,L7,H4,0.8%,1.1%,1.8%,3.7%
Drive 3,L7,H5,0.5%,1.4%,1.5%,3.4%
Drive 3,L8,H1,0.4%,1.0%,1.6%,3.0%
Drive 3,L8,H2,0.4%,1.1%,1.7%,3.2%
Drive 3,L8,H3,0.5%,1.3%,1.8%,3.6%
Drive 3,L8,H4,0.6%,1.1%,1.3%,3.1%
Drive 3,L8,H5,0.6%,1.3%,1.7%,3.6%
Drive 3,L9,H1,0.4%,1.4%,1.7%,3.5%
Drive 3,L9,H2,0.7%,1.1%,1.8%,3.6%
Drive 3,L9,H3,0.9%,1.1%,1.4%,3.4%
Drive 3,L9,H4,0.6%,1.1%,1.6%,3.3%
Drive 3,L9,H5,0.3%,1.1%,1.5%,2.8%
Drive 3,L10,H1,0.3%,1.0%,1.9%,3.2%
Drive 3,L10,H2,0.5%,1.1%,1.6%,3.2%
Drive 3,L10,H3,0.2%,1.2%,1.3%,2.6%
Drive 3,L10,H4,0.3%,1.3%,1.8%,3.3%
Drive 3,L10,H5,0.3%,1.3%,1.6%,3.1%
Drive 3,L10,H6,0.6%,1.2%,1.4%,3.3%
Drive 3,L10,H7,0.7%,1.3%,2.0%,4.0%
Drive 3,L10,H8,0.4%,1.2%,1.4%,2.9%
Drive 3,L10,H9,0.5%,1.2%,1.7%,3.3%
Drive 3,L10,H10,0.3%,1.4%,2.0%,3.6%
Drive 3,L10,H11,0.2%,1.3%,1.4%,2.9%
Drive 3,L10,H12,0.4%,1.2%,1.5%,3.2%
Drive 3,L10,H13,0.4%,1.2%,1.1%,2.8%
Drive 3,L10,H14,0.4%,1.1%,1.7%,3.2%
Drive 3,L10,H15,0.6%,1.3%,1.8%,3.7%
Drive 3,L10,H16,0.6%,1.2%,1.3%,3.1%
Drive 3,L10,H17,0.5%,1.3%,1.7%,3.4%
Drive 3,L10A,H17,0.5%,1.4%,1.6%,3.5%
Drive 3,L10A,H16,0.4%,1.3%,1.5%,3.2%
Drive 3,L10A,H15,0.6%,1.2%,1.7%,3.5%
Drive 3,L10A,H14,0.9%,1.0%,1.3%,3.3%
Drive 3,L10A,H13,0.6%,1.2%,1.4%,3.2%
Drive 3,L10A,H12,0.2%,1.3%,1.8%,3.3%
Drive 3,L10A,H1,0.8%,1.2%,1.6%,3.6%
Drive 3,L10A,H2,0.6%,1.4%,1.9%,3.9%
Drive 3,L10A,H3,0.6%,1.1%,1.4%,3.2%
Drive 3,L10A,H4,0.0%,1.2%,1.4%,2.6%
Drive 3,L10A,H5,0.9%,1.3%,1.6%,3.7%
Drive 3,L10A,H6,0.2%,1.2%,1.5%,3.0%
Drive 3,L10A,H11,0.8%,1.2%,1.7%,3.7%
Drive 3,L1A,H8,0.7%,1.0%,1.8%,3.4%
Drive 3,L1A,H10,0.3%,1.1%,1.4%,2.8%
Drive 3,L1A,H9,0.8%,1.2%,1.8%,3.8%
Drive 3,L1B,H1,0.8%,1.1%,1.7%,3.6%
Drive 3,L1B,H2,0.6%,1.2%,1.4%,3.2%
Drive 3,L1C,H7,0.8%,1.3%,1.5%,3.6%
Drive 3,L1C,H9,0.4%,1.2%,1.7%,3.3%
Drive 3,L1C,H8,0.4%,1.1%,1.6%,3.1%
Drive 3,L1C,H10,0.7%,1.4%,1.2%,3.3%
Drive 3,L1C,H11-rev,1.2%,1.2%,1.4%,3.8%
Drive 3,L1D,H1,0.1%,1.3%,1.5%,2.9%
Drive 3,L1D,H2,0.4%,1.1%,1.7%,3.3%
Drive 3,L1E,H8,0.8%,1.2%,1.9%,3.9%
Drive 3,L1E,H9,0.3%,1.4%,1.7%,3.4%
Drive 3,L1E,H10,0.2%,1.1%,1.5%,2.8%
Drive 3,L2,H8,0.6%,1.1%,1.7%,3.5%
Drive 3,L2,H9-rev,0.1%,1.3%,1.4%,2.8%
Drive 3,L10A,H7,0.6%,1.2%,1.6%,3.5%
Drive 3,L10A,H8,0.5%,1.2%,1.8%,3.5%
Drive 3,L10A,H10,0.0%,1.2%,1.6%,2.9%
Drive 3,L10A,H9,0.7%,1.0%,1.9%,3.6%
Drive 3,L10B,H1,0.4%,1.3%,2.0%,3.7%
Drive 3,L10B,H2,0.3%,1.2%,1.7%,3.2%
Drive 3,L10C,H1,1.0%,1.2%,1.7%,4.0%
Drive 3,L10C,H2,0.4%,1.2%,1.4%,3.0%
Drive 3,L10C,H3,0.3%,1.2%,1.5%,3.1%
Drive 3,L10C,H4,0.8%,1.2%,1.6%,3.6%
Drive 3,L10C,H5,0.6%,1.2%,1.8%,3.6%
Drive 3,L10C,H6,0.4%,1.3%,1.7%,3.4%
Drive 3,L10C,H7,0.4%,1.3%,1.3%,2.9%
Drive 3,L10C,H8,0.7%,1.4%,1.5%,3.5%
Drive 3,L10C,H9-rev,0.9%,1.3%,1.0%,3.2%
Drive 3,L10C,H10,0.3%,1.4%,1.5%,3.2%
Drive 3,L10C,H19,0.7%,1.2%,1.6%,3.4%
Drive 3,L10C,H18,0.4%,1.3%,1.7%,3.3%
Drive 3,L10C,H17,0.8%,1.2%,1.3%,3.3%
Drive 3,L10C,H16,0.5%,1.2%,1.4%,3.1%
Drive 3,L10C,H15,0.5%,1.3%,1.5%,3.3%
Drive 3,L10C,H14,0.5%,1.1%,1.5%,3.2%
Drive 3,L10C,H13,0.4%,1.1%,1.2%,2.7%
Drive 3,L10C,H12,0.4%,1.1%,1.7%,3.3%
Drive 3,L10C,H11,0.6%,1.0%,1.3%,2.9%
Drive 3,L10E,H1,0.4%,1.2%,1.8%,3.4%
Drive 3,L10E,H2,0.5%,1.1%,1.8%,3.4%
Drive 3,L10E,H3,0.4%,1.2%,2.0%,3.6%
Drive 3,L10E,H4,0.4%,1.3%,1.4%,3.2%
Drive 3,L10E,H5,0.4%,1.2%,2.0%,3.5%
Drive 3,L10E,H6,0.5%,1.2%,1.6%,3.2%
Drive 3,L10E,H7,0.4%,1.4%,2.0%,3.8%
Drive 3,L10E,H8,0.6%,1.2%,1.4%,3.3%
Drive 3,L10E,H17,0.5%,1.3%,1.4%,3.2%
Drive 3,L10E,H16,0.6%,1.0%,1.9%,3.5%
Drive 3,L10E,H15-rev,0.4%,1.3%,1.5%,3.2%
Drive 3,L10E,H14,0.4%,1.3%,2.0%,3.6%
Drive 3,L10E,H13-rev,0.5%,1.1%,1.4%,3.0%
Drive 3,L10E,H12,0.6%,1.2%,1.5%,3.4%
Drive 3,L10E,H9,0.4%,1.0%,1.6%,3.1%
Drive 3,L10D,H2,0.9%,1.2%,1.5%,3.6%
Drive 3,L10D,H1,0.4%,1.1%,1.4%,2.9%
Drive 3,L10E,H10,0.5%,1.2%,1.4%,3.0%
Drive 3,L10E,H11,0.4%,1.2%,1.4%,3.0%
Drive 3,L1,H1,0.1%,1.2%,1.7%,3.0%
Drive 3,L1,H2,0.4%,1.2%,1.6%,3.2%
Drive 3,L2,H1,0.8%,1.2%,1.8%,3.8%
Drive 3,L2,H2,0.5%,1.3%,1.5%,3.3%
Drive 3,L2,H3,0.4%,1.1%,1.5%,3.0%
Drive 3,L2,H4,0.5%,1.2%,1.7%,3.4%
Drive 3,L2,H5,0.4%,1.3%,1.8%,3.5%
